Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,
experimentalData,,,,,FALSE,,,,
specimenID,Identifying string linked to a particular sample or specimen,,,,TRUE,experimentalData,,,
HPLC,"Frequently referred to simply as HPLC, this form of column chromatography is used frequently in biochemistry. The analyte is forced through a column by liquid at high pressure, which decreases the time the separated components remain on the stationary phase.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C16434,
photograph,An image recorded by a camera.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C86035,
Zeno Electronic Walkway,The Zeno walkway utilizes an advanced and patented electronic sensing array technology with a proprietary network interface to sense and deliver the position of two dimensional objects in contact with its surface.,,,,FALSE,assay,,http://www.zenometrics.com/zenowalkway.html,
elevated T maze apparatus method,"A method which utilizes an experimental apparatus consisting of three arms all or any of which may or may not be enclosed, in the shape of a T upon which the test animal can walk. The maze may include doors which can be used to close off any of the arms of the maze. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000267,
von Frey test,assessment of mechanical nociception,,,,FALSE,assay,,https://en.wikipedia.org/wiki/Nociception_assay#Von_Frey,
FitBark,health and location tracker,,,,FALSE,assay,,https://www.fitbark.com/,
elevated plus maze test,"A method which utilizes an experimental apparatus consisting of four arms, usually two enclosed and two open, in the shape of a plus (+) upon which the test animal can walk. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000262,
open field test,"A test utilizing an enclosure consisting of a single area bordered by clear or opaque walls, used to measure movement, exploratory behavior, etc of an experimental subject.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000258,
rotarod performance test,"A method that utilizes a device consisting of a rotating rod the speed of which is mechanically driven and precisely controlled, for instance held constant or accelerated. The rotarod test is often used to measure riding time or endurance in order to evaluate balance, motor coordination or grip strength.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000567,
mRNAcounts,A mRNA profiling assay using digital molecular barcoding technology to quantify target mRNA molecules without the need for amplification.,,,,FALSE,assay,,Sage Bionetworks,
high content screen,An image analysis technique combining automated fluorescence microscopy with multi-parameter quantitative image analysis for the large scale study of cells (cellomics).,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0007550,
Immunocytochemistry,The branch of immunochemistry dealing with cells and cellular activity, the application of immunochemical techniques to cytochemistry.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C17731
immunofluorescence,An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C17370,
autoradiography, A radioactivity detection technique using X- ray film to visualize molecules or fragments of molecules that have been radioactively labeled.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0000716,
electrochemiluminescence,"A method in which electromagnetic radiation, in the form of light emission, is generated from an electrochemical reaction in a solution.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C111193,
Real Time PCR,An application of PCR that measures the products generated during each cycle of the polymerase chain reaction process in order to determine the starting amount of template in the reaction.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C51962,
Vernier Caliper,A medical device that is a combination of ruler and caliper that can measure the distance between two points. The configuration of this device permits the measurement of internal dimensions.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C81184,
scale,An instrument or machine for weighing.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000217,
Blood Chemistry Measurement,The determination of the measured concentrations of chemical constituents of the blood by assay in a clinical laboratory.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C47868,
in vivo bioluminescence,An imaging assay that allows detection of bioluminescence from a living organism or organisms.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0000651,
immunohistochemistry,An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001986,
NOMe-Seq,Nucleosome Occupancy and Methylome Sequencing,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C106053,
FIA-MSMS,Flow injection analysis - tandem mass spectrometer,,,,FALSE,assay,,https://www.ncbi.nlm.nih.gov/pubmed/28667829,
UPLC-MSMS,Ultra performance liquid chromatography - tandem mass spectrometer.,,,,FALSE,assay,,https://www.wur.nl/en/show/Ultra-performance-liquid-chromatography-tandem-mass-spectrometer-UPLCMSMS.htm,
HPLC-MSMS,"An analytical technique wherein high performance liquid chromatography is coupled to tandem mass spectrometry in order to separate, identify, and quantify substances in a sample.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C120691,
liquid chromatography-electrochemical detection,"A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0001746,
rnaSeq,RNA Sequencing measurements,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001271,
mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002112,
LC-MSMS,A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000701,
LC-MS,A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000524,
lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,,,FALSE,assay,,,
exomeSeq,Data derived from exome sequencing,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002118,
Sanger sequencing,"A DNA sequencing technique in which a mixture of deoxynucleosidetriphosphates (dNTPs) and chain-terminating dNTPs, which are radioactively or fluorescently labeled, are combined within the reaction mixture. Once the reaction is complete, the DNA strands are separated by size, and the labeled chain terminating dNTPs can be read in sequence by the investigator or by a machine.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C19641,
ChIPSeq,Chromatin immuno-precipitation followed by sequencing,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0000716,
rnaArray,RNA measurements captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001463,
snpArray,SNP measurements captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001204,
methylationArray,Methylation data captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001332,
mirnaArray,microRNA measurements captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001335,
bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0000748,
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002039,
HI-C,Chromatin interactions detected by HI-C protocol,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0007693,
errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,,,FALSE,assay,,,
ISOSeq,Full isoform sequencing,,,,FALSE,assay,,,
MRI,"Techniques that uses magnetic fields and radiowaves to form images, typically to investigate the anatomy and physiology of the human body.",,,,FALSE,assay,,http://edamontology.org/topic_3444,
westernBlot,A multistep process in which a mixture of proteins is separated by gel electrophoresis,,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000338,
wholeGenomeSeq,Laboratory technique to sequence the complete DNA sequence of an organism's genome at a single time,,,,FALSE,assay,,http://edamontology.org/topic_3673,
polymeraseChainReaction,"A rapid technique for in vitro amplification of specific DNA or RNA sequences, allowing small quantities of short sequences to be analyzed without cloning",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000459,
cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death,,,,FALSE,assay,,http://www.bioassayontology.org/bao#BAO_0003009,
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000113,
brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000104,
tractionForceMicroscopy,An experimental method for determining the tractions on the surface of a biological cell by obtaining measurements of the surrounding displacement field within an in vitro extracellular matrix (ECM),,,,FALSE,assay,,https://en.wikipedia.org/wiki/Traction_force_microscopy,
nextGenerationTargetedSequencing,A type of next generation sequencing in which specific genes or portions of genes are targeted for sequencing using amplicon-based workflow.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C130177,
jumpingLibrary,,,,,FALSE,assay,,,
MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS),,,,FALSE,assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/,
scCGIseq,"A method for genome-wide CpG island (CGI) methylation sequencing for single cells (scCGI-seq), combining methylation-sensitive restriction enzyme digestion and multiple displacement amplification for selective detection of methylated CGIs",,,,FALSE,assay,,https://www.ncbi.nlm.nih.gov/pubmed/28126923,
MudPIT,MudPIT is a method for rapid and large-scale protein identification by multidimensional liquid chromatography associated with tandem mass spectrometry,,,,FALSE,assay,,http://purl.obolibrary.org/obo/MI_0658,
questionnaire,"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001000,
DNA optical mapping,Fluorescent imaging of linearly extended DNA molecules to probe information patterns along the molecules,,,,FALSE,assay,,https://doi.org/10.1016/j.copbio.2013.01.009,
novelty response behavior,"Behavior related to the exploration/investigation of a novel object, situation or environment.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000086,
active avoidance learning behavior,Avoidance learning when the action occurs.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000217,
contextual conditioning behavior,,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000223,
anxiety-related behavior,An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000092,
memory behavior,"Behavior related with the ability of an organism's ability to store, retain, and recall information and experiences.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000170,
kinesthetic behavior,Movement behavior of the body or its parts.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000338,
locomotor activation behavior,Activation of locomotory behavior.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000447,
oxBS-Seq,Oxidative bisulfite sequencing (oxBS-Seq) to map 5-methylcytosine and 5-hydroxymethylcytosine,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0008840,
Ribo-Seq,Ribosome profiling (Ribo-Seq).,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0008891,
Positron Emission Tomography,A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C17007,
RPPA,Reverse phase protein array (RPPA) is a an assay that measures multiple protein expression levels in a large number of biological samples simultaneously using high quality antibodies,,,,FALSE,assay,,http://www.bioassayontology.org/bao#BAO_0010030,
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution; the solution is run over a surface to which immobilized antibodies specific to the substance have been attached, and if the substance is present, it will bind to the antibody layer, and its presence is verified and visualized with an application of antibodies that have been tagged in some way.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C16553,
LTP,Any measurable or observable characteristic related to the persistent robust synaptic response induced by synchronous stimulation of pre- and postsynaptic cells.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/VT_0002207,
LFP,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002189,
whole-cell patch clamp,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002178,
sandwich ELISA,"The sandwich ELISA measures the amount of antigen between two layers of antibodies. The antigens to be measured must contain at least two antigenic sites, capable of binding to antibody, since at least two antibodies act in the sandwich. So sandwich assays are restricted to the quantitation of multivalent antigens such as proteins or polysaccharides. Sandwich ELISAs for quantitation of antigens are especially valuable when the concentration of antigens is low and/or they are contained in high concentrations of contaminating protein.",,,,FALSE,assay,,https://www.ebi.ac.uk/ols/ontologies/bao/terms?iri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0002421,
Laser Speckle Imaging,"A noninvasive, non-scanning optical imaging technique that provides full-field visualization of blood flow to the tissue being imaged, which provides information about tissue perfusion and the efficiency of disease treatment.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C116492,
Genotyping,The determination of the DNA sequence of an individual.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C45447,
TMT quantitation,"An isobaric labeling technique that uses tags containing four regions with the same total molecular weights and structure, so that during chromatographic or electrophoretic separation and in single MS mode, molecules labelled with different tags are indistinguishable.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0002175,
label free mass spectrometry,"A mass spectrometry assay that allows for measurement for endogenous targets in live cell assays, and eliminates the need for tags, dyes, or specialized reagents or engineered cells.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0000708,
