Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
PsychENCODE,PsychENCODE Metadata,,"260/230, 260/280, ageOfDeath, ageOfDeathUnits, ageOnset, analysisType, antibody, antibodyAmount, arrayBatch, assay, assayTarget, batch, batchChannel, BMI, braak, BrodmannArea, catalogNumber, causeOfDeath, CDR, cellType, chromatinAmount, consortium, controlType, dataType, dataSubtype, dateOfBirth, dateOfDeath, dementia, dnaBatch, familyHistory, fileFormat, FRiP, fragmentation, genotypeInferredAncestry, GQN, grant, group, histoneAntibody, individualID, individualIdSource, investigatorName, IQ, isMultiIndividual, isMultiSpecimen, isStranded, libraryBatch, libraryID, libraryPrep, libraryPreparationMethod, lotNumber, mannerOfDeath, mappedReads, meanCoverage, meanGCContent, medianGenes, medianUMIs, medRecordTox, metadataType, multiconsesusStudyFileID, neuropathDescription, nucleicAcidSource, numberCells, organ, organRIN, organWeight, otherDiagnosis, otherDiagnosisDetail, otherMedicalDx, otherMedicalDetail, parent, passage, path, pcrCycles, percentAligned, pH, platform, PMI, PMICertain, postmortem, postmortemTox, postmortemToxSource, primaryDiagnosis, primaryDiagnosisDetail, race, raceDetail, readLength, readPair, readStrandOrigin, referenceSet, reportedGender, reprogrammedCellType, resolution, resourceType, RIN, rnaBatch, rRNARate, runType, sampleID, sequencingBatch, requencingReplicate, sexChromosome, species, specimenID, study, technicalReplicate, terminalDifferentiationPoint, tissue, TMTType, totalReads, transposaseBatch, treatmentType, validBarcodeReads, validHiCContacts, vendor",,FALSE,PsychENCODE,,
260/230,DNA QC metric - ratio of absorbance at 260 nm and 230 nm,,,,FALSE,PsychENCODE,,
260/280,DNA QC metric - ratio of absorbance at 260 nm and 280 nm,,,,FALSE,PsychENCODE,,
ageOfDeath,Age of death,,ageOfDeathUnits,,FALSE,PsychENCODE,,
ageOfDeathUnits,The death age unit of measure (gestational week or year),,,,FALSE,PsychENCODE,,
ageOnset,Age in years of first symptoms,,,,FALSE,PsychENCODE,,
alignmentMethod,DNA or RNA sequence alignment method,"Bowtie, Bowtie 2, Burrows-Wheeler technique, GSNAP, MOSAIC, NovoAlign, Olego, SNAPR, STAR, TopHat",,,FALSE,PsychENCODE,,
Bowtie,A memory efficient short read alignment algorithm.,,,,FALSE,alignmentMethod,,https://www.ncbi.nlm.nih.gov/pubmed/19261174
Bowtie 2,A memory efficient short read alignment algorithm.,,,,FALSE,alignmentMethod,,https://www.nature.com/articles/nmeth.1923
Burrows-Wheeler technique,Burrows Wheeler Alignment algorithm.,,,,FALSE,alignmentMethod,,http://purl.obolibrary.org/obo/ERO_0100332
